TOA5,,CR800,43098,CR800.Std.32.02,CPU:CR800_WR417_COND_1459_5s.CR8,17980,Table1
TIMESTAMP,Time,RECORD,Cond_cor,Ct_raw,Temp_C,,
TS,,RN,mS/cm,mS/cm,Deg C,,
,,,Smp,Smp,Smp,,
14:44:55,445,19747,0.7492791,0.6413749,20.2,,
14:45:00,450,19748,0.7511454,0.6413749,20.13,,
14:45:05,455,19749,0.7505381,0.6413848,20.15,,
14:45:10,460,19750,0.750227,0.6413848,20.16,,
14:45:15,465,19751,0.7514123,0.6415994,20.13,,
14:45:20,470,19752,0.751161,0.6413848,20.13,,
14:45:25,475,19753,0.7511006,0.6415994,20.14,,
14:45:30,480,19754,0.751161,0.6413848,20.13,,
14:45:35,485,19755,0.7520964,0.6413848,20.09,,
14:45:40,490,19756,0.7513519,0.6418141,20.14,,
14:45:45,495,19757,0.7507892,0.6415994,20.15,,
14:45:50,500,19758,0.7516636,0.6418141,20.13,,
14:45:55,505,19759,0.7522871,0.6418141,20.11,,
14:46:00,510,19760,0.7513519,0.6418141,20.14,,
14:46:05,515,19761,0.7507291,0.6418141,20.16,,
14:46:10,520,19762,0.7510403,0.6418141,20.15,,
14:46:15,525,19763,0.7504173,0.6418141,20.18,,
14:46:20,530,19764,0.7522871,0.6418141,20.11,,
14:46:25,535,19765,0.7513519,0.6418141,20.14,,
14:46:30,540,19766,0.7513519,0.6418141,20.14,,
14:46:35,545,19767,0.752201,0.6420029,20.12,,
14:46:40,550,19768,0.7510142,0.6417882,20.15,,
14:46:45,555,19769,0.7509541,0.6420029,20.16,,
14:46:50,560,19770,0.7497699,0.6417882,20.2,,
14:46:55,565,19771,0.7512654,0.6420029,20.15,,
14:47:00,570,19772,0.7503322,0.6420029,20.19,,
14:47:05,575,19773,0.7512654,0.6420029,20.15,,
14:47:10,580,19774,0.7525126,0.6420029,20.1,,
14:47:15,585,19775,0.7506422,0.6420029,20.18,,
14:47:20,590,19776,0.751577,0.6420029,20.14,,
