Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_A_up,8/13/11,10:23:00,50.6,6.52,3.15,2.96
I8_In_A_up,8/13/11,10:25:00,50.2,8.88,3.08,2.87
I8_In_A_up,8/13/11,10:29:00,49.9,11.1,3.45,2.91
I8_In_A_up,8/13/11,10:39:00,50.3,9.76,3.16,2.99
I8_In_A_up,8/13/11,11:01:00,56.1,,2.97,3.07
I8_In_A_up,8/13/11,11:06:00,96.8,,2.89,5.38
I8_In_A_up,8/13/11,11:10:00,213,,12.4,11.7
I8_In_A_up,8/13/11,11:14:00,405,,19.6,23
I8_In_A_up,8/13/11,11:18:00,620,,52.8,35.4
I8_In_A_up,8/13/11,11:23:00,785,,70.5,45.3
I8_In_A_up,8/13/11,11:27:00,839,,63.6,49.3
I8_In_A_up,8/13/11,11:31:15,830,,52.4,47.8
I8_In_A_up,8/13/11,11:34:00,777,,50.9,45.8
I8_In_A_up,8/13/11,11:36:00,749,,24.2,43.8
I8_In_A_up,8/13/11,11:38:30,692,,17.4,40.5
I8_In_A_up,8/13/11,11:42:00,613,,13.5,36
I8_In_A_up,8/13/11,11:44:15,567,,12.8,33.4
I8_In_A_up,8/13/11,11:46:45,510,,6.96,30.3
I8_In_A_up,8/13/11,11:49:00,458,,10.6,27.7
I8_In_A_up,8/13/11,11:52:00,413,,8.61,24.2
I8_In_A_up,8/13/11,11:54:15,269,,3,15.9
I8_In_A_up,8/13/11,11:57:30,308,,3.82,18.7
I8_In_A_up,8/13/11,12:01:00,270,,2.87,16.2
I8_In_A_up,8/13/11,12:04:30,228,,2.03,13.9
I8_In_A_up,8/13/11,12:09:00,190,,3.78,11.7
I8_In_A_up,8/13/11,12:15:30,153,,3.98,9.72
I8_In_A_up,8/13/11,12:20:00,133,,3.02,8.3
I8_In_A_up,8/13/11,12:29:00,105,,3.65,6.62
I8_In_A_up,8/13/11,12:38:00,87.2,,2.98,5.71
I8_In_A_up,8/13/11,12:55:00,68.6,,2.7,4.88
I8_In_A_up,8/13/11,13:15:00,61.7,,2.85,3.99
I8_In_A_up,8/13/11,13:33:00,58.6,,3.87,3.69
I8_In_A_up,8/13/11,13:42:00,56.3,,3.47,3.61
I8_In_A_up,8/13/11,14:16:00,52.9,,3.31,3.36
