Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,7/19/10,12:15:00,6.65,6.65,15,3.85
A_up,7/19/10,12:16:00,-0.106,-10.2,12.5,3.95
A_up,7/19/10,12:16:00,6.65,-7.37,15,4.17
A_up,7/19/10,12:19:00,-19,21.3,14.7,4.26
A_up,7/19/10,12:23:00,6.78,5.86,14.3,3.99
A_up,7/19/10,12:25:30,13.9,0.43,12.3,4.26
A_up,7/19/10,12:26:00,9.41,-4.56,10.1,4.26
A_up,7/19/10,12:26:00,7.84,-2.71,12.1,3.79
A_up,7/19/10,12:30:00,176,2.38,124,20.65
A_up,7/19/10,12:32:00,230,-2.11,146,27.20
A_up,7/19/10,12:34:00,212,-5.04,123,25.46
A_up,7/19/10,12:36:00,168,-9.82,103,19.61
A_up,7/19/10,12:38:00,122,-10.5,61.8,15.42
A_up,7/19/10,12:40:00,92.1,11.9,42.4,11.11
A_up,7/19/10,12:42:00,64.8,-3.14,34.6,10.55
A_up,7/19/10,12:44:00,50.3,0.805,26.5,8.59
A_up,7/19/10,12:47:00,34.3,4.81,16.8,6.75
A_up,7/19/10,12:50:00,24.9,-9.31,17.8,5.92
A_up,7/19/10,12:55:00,17.3,-11.2,16,5.16
A_up,7/19/10,13:00:00,13.6,-0.663,14.5,4.75
A_up,7/19/10,13:04:00,9.87,11.5,10.1,4.85
A_up,7/19/10,13:08:00,8.38,0.273,7.86,4.49
A_up,7/19/10,13:15:00,7.53,1.2,9.62,4.19
A_up,7/19/10,13:30:30,6.46,6.61,15.1,4.02
A_up,7/19/10,14:15:00,6.92,-11.6,14.8,4.06
A_up,7/19/10,14:16:00,5.05,4.89,16.9,4.04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
