Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_B_up,7/19/11,18:08:00,8.52,5.21,4.02,2.97
I8_In_B_up,7/19/11,18:09:00,8.06,5.8,4.4,2.97
I8_In_B_up,7/19/11,18:09:30,8.3,4.75,4.44,3
I8_In_B_up,7/19/11,18:10:00,9.82,6.1,4.59,2.96
I8_In_B_up,7/19/11,18:14:00,8.97,6.46,,3.85
I8_In_B_up,7/19/11,18:15:00,9.34,14.4,,7.98
I8_In_B_up,7/19/11,18:16:00,10.6,39.9,,15.7
I8_In_B_up,7/19/11,18:17:00,9.31,84,,26.1
I8_In_B_up,7/19/11,18:18:00,10.1,129,,35.3
I8_In_B_up,7/19/11,18:19:00,10.6,150,,39.6
I8_In_B_up,7/19/11,18:20:00,11.3,154,,40.4
I8_In_B_up,7/19/11,18:21:00,11.8,146,,38.2
I8_In_B_up,7/19/11,18:22:00,12.2,126,,35.1
I8_In_B_up,7/19/11,18:23:00,11.8,105,,31.7
I8_In_B_up,7/19/11,18:24:00,11.6,85.6,,26.8
I8_In_B_up,7/19/11,18:25:00,12.6,66.6,,23.5
I8_In_B_up,7/19/11,18:26:00,12.2,51.5,,19.8
I8_In_B_up,7/19/11,18:27:10,12.8,38.6,,16.8
I8_In_B_up,7/19/11,18:28:00,12.8,31.7,,14.6
I8_In_B_up,7/19/11,18:29:00,9.57,23.3,,9.54
I8_In_B_up,7/19/11,18:30:00,13.1,19.8,,11
I8_In_B_up,7/19/11,18:31:00,13.2,16.4,,9.94
I8_In_B_up,7/19/11,18:32:00,13.5,14.2,,8.88
I8_In_B_up,7/19/11,18:33:00,13.3,10.5,,7.86
I8_In_B_up,7/19/11,18:34:30,14.1,8.57,,6.43
I8_In_B_up,7/19/11,18:36:00,12.9,5.53,,6.04
I8_In_B_up,7/19/11,18:38:00,13.3,5.19,,5.22
I8_In_B_up,7/19/11,18:40:00,13.1,5.01,,4.73
I8_In_B_up,7/19/11,18:42:00,12.7,5.24,,4.32
I8_In_B_up,7/19/11,18:46:00,12.8,8.04,,3.83
I8_In_B_up,7/19/11,18:52:00,12.2,6.26,,3.53
I8_In_B_up,7/19/11,19:00:00,11.3,5.55,,3.2
I8_In_B_up,7/19/11,19:15:00,8.94,5.54,,2.87
I8_In_B_up,7/19/11,19:30:00,6.66,6.24,,2.12
