Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
I8_In_B_up,8/13/11,14:24:00,49.8,12,5.03,3.3
I8_In_B_up,8/13/11,14:35:00,47.5,9.43,4.26,3.27
I8_In_B_up,8/13/11,14:45:00,46.5,9.95,3.77,3.24
I8_In_B_up,8/13/11,14:55:00,46.1,8.06,3.12,3.24
I8_In_B_up,8/13/11,15:02:00,46.2,16.6,,3.47
I8_In_B_up,8/13/11,15:05:00,46.2,21.2,,4.72
I8_In_B_up,8/13/11,15:07:00,46.1,15.5,,6.32
I8_In_B_up,8/13/11,15:09:00,46.4,30.4,,9.42
I8_In_B_up,8/13/11,15:11:15,47.9,66.1,,14.8
I8_In_B_up,8/13/11,15:13:00,47.7,97.5,,19.9
I8_In_B_up,8/13/11,15:15:00,49.9,126,,25.6
I8_In_B_up,8/13/11,15:17:00,50.7,184,,31.2
I8_In_B_up,8/13/11,15:19:00,50.5,222,,36.1
I8_In_B_up,8/13/11,15:22:00,52.3,278,,42.9
I8_In_B_up,8/13/11,15:24:15,53.8,302,,44.4
I8_In_B_up,8/13/11,15:26:00,54.8,311,,46.2
I8_In_B_up,8/13/11,15:28:00,55.9,320,,47
I8_In_B_up,8/13/11,15:30:00,57.4,314,,46.3
I8_In_B_up,8/13/11,15:33:00,57.4,306,,47
I8_In_B_up,8/13/11,15:36:00,59.1,278,,41.8
I8_In_B_up,8/13/11,15:40:00,60,232,,36.6
I8_In_B_up,8/13/11,15:42:00,60.7,209,,34.6
I8_In_B_up,8/13/11,15:44:00,61,185,,31.7
I8_In_B_up,8/13/11,15:46:00,62,155,,29.2
I8_In_B_up,8/13/11,15:49:00,61.3,136,,25.9
I8_In_B_up,8/13/11,15:52:00,61.5,107,,22.5
I8_In_B_up,8/13/11,15:57:00,61.5,76.4,,18.1
I8_In_B_up,8/13/11,16:00:00,61.4,61.4,,16.2
I8_In_B_up,8/13/11,16:05:00,61.6,41.2,,13.1
I8_In_B_up,8/13/11,16:10:00,61.7,34.5,,10.8
I8_In_B_up,8/13/11,16:22:00,61.4,19.6,,7.58
I8_In_B_up,8/13/11,16:51:00,58.2,21,,4.73
I8_In_B_up,8/13/11,17:12:00,55.2,17.3,,3.98
I8_In_B_up,8/13/11,17:40:00,53.4,7.04,3.25,3.71
