width_m,depth_cm,velo_m_s
2.9,0,0
4.05,27,48
5,46,61
6,56,28
7,58,73
8,60,61
10,58,95
11,56,89
11.5,58,50
12,60,92
12.5,58,77
13,58,88
13.5,57,78
14,58,71
14.5,55,90
15,66,125
15.5,56,90
16,58,86
16.5,60,69
17,62,34
17.5,61,83
18,52,67
18.9,54,55
19.9,52,53
21,51,74
22,40,52
23,32,50
24,28,41
25,28,14
26,15,31
27,4,0
28.5,0,0
