Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,9/28/10,11:20:00,19.3,12.9,0.84,0.42
A_up,9/28/10,11:38:00,23,16.8,7.64,0.49
A_up,9/28/10,11:39:30,27.8,,16.2,0.87
A_up,9/28/10,11:44:00,91.4,,140,6.56
A_up,9/28/10,11:46:00,162,,285,12.32
A_up,9/28/10,11:47:00,191,,350,15.19
A_up,9/28/10,11:48:00,252,,490,20.59
A_up,9/28/10,11:49:00,284,,555,23.68
A_up,9/28/10,11:50:00,130,,208,9.81
A_up,9/28/10,11:53:00,384,,769,31.51
A_up,9/28/10,11:54:30,407,,797,35.60
A_up,9/28/10,11:56:00,441,,908,39.46
A_up,9/28/10,11:58:30,469,,956,40.78
A_up,9/28/10,12:09:00,452,,926,39.69
A_up,9/28/10,12:15:00,420,,837,36.96
A_up,9/28/10,12:25:00,322,,643,27.96
A_up,9/28/10,12:35:00,248,,463,20.87
A_up,9/28/10,12:43:00,210,,388,17.51
A_up,9/28/10,13:00:00,366,,753,32.01
A_up,9/28/10,13:18:00,86.4,,134,6.46
A_up,9/28/10,13:39:00,59.3,,62.7,3.82
A_up,9/28/10,13:57:00,43.8,,40.6,2.43
A_up,9/28/10,14:12:00,38.1,13.8,27.2,1.94
A_up,9/28/10,14:20:00,35,12.4,20.4,1.50
