Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_down,6/8/11,14:43:00,10.4,14.8,4.02,0.813
A_down,6/8/11,14:57:00,10.7,16.4,4.01,0.711
A_down,6/8/11,15:04:00,12.7,,4.83,1.03
A_down,6/8/11,15:08:00,25.6,,25.1,3.04
A_down,6/8/11,15:14:00,62.3,,87.1,9.71
A_down,6/8/11,15:18:00,81.8,,117,13.3
A_down,6/8/11,15:23:00,89,,128,14.6
A_down,6/8/11,15:27:00,88.5,,130,15.7
A_down,6/8/11,15:39:00,70.2,,100,11.6
A_down,6/8/11,15:57:00,37.4,,52.5,6.02
A_down,6/8/11,16:19:00,25.7,,25.1,3.05
A_down,6/8/11,16:41:00,21.1,,75.2,1.54
