Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,7/23/10,11:00:00,12.7,,5.65,0.09
A_up,7/23/10,11:00:30,13,,3.64,0.11
A_up,7/23/10,11:09:00,76.6,,58.8,3.36
A_up,7/23/10,11:10:00,271,,273,13.42
A_up,7/23/10,11:12:00,584,,616,30.96
A_up,7/23/10,11:13:00,538,,647,29
A_up,7/23/10,11:14:00,676,,727,35.72
A_up,7/23/10,11:14:30,699,,753,36.68
A_up,7/23/10,11:15:00,701,,758,37.7
A_up,7/23/10,11:15:30,726,,739,37.08
A_up,7/23/10,11:18:00,668,,649,35.19
A_up,7/23/10,11:20:00,605,,604,31.26
A_up,7/23/10,11:22:00,545,,541,28.32
A_up,7/23/10,11:24:00,487,,472,24.56
A_up,7/23/10,11:26:00,427,,407,21.75
A_up,7/23/10,11:28:00,356,,344,17.82
A_up,7/23/10,11:30:00,317,,299,15.94
A_up,7/23/10,11:33:00,253,,225,12.15
A_up,7/23/10,11:36:00,210,,185,9.74
A_up,7/23/10,11:41:00,137,,115,6.52
A_up,7/23/10,11:46:30,92.9,,94.5,4.83
A_up,7/23/10,11:54:00,65.4,,44.7,2.85
A_up,7/23/10,12:14:00,29,,13.8,0.92
A_up,7/23/10,12:30:00,17.1,,5.83,0.43
A_up,7/23/10,12:00:00,12.4,13.2,3.16,0.11
