Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_down,9/28/10,14:32:00,117,17.5,182,8.93
B_down,9/28/10,14:50:00,97.2,17.5,137,7.06
B_down,9/28/10,15:25:00,72.4,68.9,,10.47
B_down,9/28/10,15:32:00,68.3,108,,13.85
B_down,9/28/10,15:37:00,62.4,163,,17.82
B_down,9/28/10,15:51:00,55.3,228,,22.73
B_down,9/28/10,16:00:30,49.8,253,,24.08
B_down,9/28/10,16:13:00,39.4,238,,22.43
B_down,9/28/10,16:24:00,36.6,227,,20.56
B_down,9/28/10,16:35:00,34.4,202,,18.15
B_down,9/28/10,16:46:00,32.3,178,,15.69
B_down,9/28/10,17:00:00,29.8,142,,12.78
