Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_nh4,cl_ug,cor_cl,con_nh4,con_amb_nh4,tot_nh4,nh4_cl,log_nh4_cl,diff,kw_nh4,sw_nh4
B_up,6/14/11,15:07:00,17.1,3.05,8.58,0.579,0.007624999999999993,579,99.20249999999999,1.3261723823527907,4.376172382352791,3.6533992070640204,7.686298228371255e-5,-9.473486172074837,-5.1586198415771864,-0.057317998239746516,17.446526932382667
B_up,6/14/11,15:15:00,16.7,5.67,4.31,0.481,2.627625,481,1.2024999999999864,0.016075424407441474,3.0660754244074413,4.169490095490119,NA,NA,NA,NA,NA
B_up,6/14/11,15:21:00,17.2,13.9,NA,2.38,10.857625,2380,1900.2024999999999,25.40254606867497,28.45254606867497,19.886940195881877,0.005713930488987358,-5.164848140283015,-0.8499818097853638,-0.009444242330948486,105.88461889875818
B_up,6/14/11,15:22:10,17.2,41.9,NA,4.78,38.857625,4780,4300.2025,57.486553202030464,60.53655320203046,50.363494509069525,0.009036231433287153,-4.706513068344129,-0.39164673784647785,-0.004351630420516421,229.79892669316507
B_up,6/14/11,15:23:30,16.3,68.6,NA,7.11,65.557625,7110,6630.2025,88.63477679399642,91.68477679399642,79.30684515266105,0.009887725902791054,-4.616461098838003,-0.3015947683403519,-0.003351052981559466,298.41366445201174
B_up,6/14/11,15:25:00,17.6,95,NA,9.31,91.95762500000001,9310,8830.2025,118.04511666623894,121.09511666623894,107.25686963217176,0.010413988240926526,-4.564605353402186,-0.2497390229045351,-0.0027748780322726123,360.3761997355266
B_up,6/14/11,15:26:30,17.7,177,NA,16.3,173.957625,16300,15820.2025,211.4897874421368,214.5397874421368,194.86801270926495,0.010995916455557381,-4.510231306420134,-0.19536497592248292,-0.0021707219546942547,460.6762270209082
B_up,6/14/11,15:28:00,17.8,291,NA,20.8,287.957625,20800,20320.2025,271.64730081717835,274.69730081717836,282.731170085293,NA,NA,NA,NA,NA
B_up,6/14/11,15:29:15,16,256,NA,18.3,252.957625,18300,17820.2025,238.22646005326638,241.2764600532664,248.52922116651834,NA,NA,NA,NA,NA
B_up,6/14/11,15:30:00,18,303,NA,23,299.957625,23000,22520.2025,301.05764068942085,304.10764068942086,303.5533151340873,0.01331949057740489,-4.318526859540823,-0.003660529043171934,-4.06725449241326e-5,NA
B_up,6/14/11,15:31:00,18.7,338,NA,24.9,334.957625,24900,24420.2025,326.457479669994,329.507479669994,333.7267267218165,NA,NA,NA,NA,NA
B_up,6/14/11,15:32:00,18.5,332,NA,26.1,328.957625,26100,25620.2025,342.4994832366717,345.54948323667173,338.70699495961844,0.012839774588042386,-4.355207536322833,-0.040341205825182413,-4.482356202798046e-4,2230.96950522532
B_up,6/14/11,15:33:00,18.5,344,NA,27.7,340.957625,27700,27220.2025,363.88882132557535,366.93882132557536,355.2843291449793,0.012525903324929344,-4.379956512861011,-0.0650901823633605,-7.232242484817834e-4,1382.6970017933352
B_up,6/14/11,15:36:00,18,375,NA,27.7,371.957625,27700,27220.2025,363.88882132557535,366.93882132557536,370.94751380362527,NA,NA,NA,NA,NA
B_up,6/14/11,15:43:00,18.4,353,NA,25.3,349.957625,25300,24820.2025,331.80481419221985,334.85481419221986,343.80772156810804,NA,NA,NA,NA,NA
B_up,6/14/11,15:49:00,17.7,298,NA,23.6,294.957625,23600,23120.2025,309.0786424727597,312.12864247275974,304.9825166413353,0.012757571003108646,-4.36163037944425,-0.046764048946599246,-5.196005438511028e-4,1924.5553374296717
B_up,6/14/11,16:00:00,17.9,207,NA,16.4,203.957625,16400,15920.2025,212.82662107269329,215.8766210726933,211.3917230216156,0.012811245648414335,-4.357431927487652,-0.042565596990001175,-4.729510776666797e-4,2114.3835953044745
B_up,6/14/11,16:15:00,18.3,88.4,NA,9.19,85.35762500000001,9190,8710.2025,116.44091630957116,119.49091630957116,102.77644186177152,0.009799729110775555,-4.625400535445247,-0.3105342049475963,-0.0034503800549732923,289.82314529630577
B_up,6/14/11,16:30:00,17.8,48.7,NA,4.65,45.657625,4650,4170.2025,55.748669482307044,58.79866948230704,53.51163615316164,0.010948539069745414,-4.514549249908729,-0.19968291941107807,-0.002218699104567534,450.7145641972568
B_up,6/14/11,16:56:00,17.8,17.8,NA,1.62,14.757625,1620,1140.2024999999999,15.242610476445732,18.29261047644573,18.04462430976977,0.012942986004678995,-4.347201258826678,-0.03233492832902751,-3.59276981433639e-4,NA
B_up,6/14/11,16:56:00,18.3,20.6,NA,1.51,17.557625,1510,1030.2024999999999,13.772093482833606,16.822093482833605,18.6154539495112,NA,NA,NA,NA,NA
B_up,6/14/11,17:05:00,17.4,14.4,NA,1.27,11.357625,1270,790.2025,10.563692769498058,13.613692769498059,14.001327647075904,NA,NA,NA,NA,NA
B_up,6/14/11,17:05:00,17.6,6.19,NA,1.16,3.1476250000000006,1160,680.2025,9.093175775885932,12.143175775885933,8.66984763722719,0.004627482257121961,-5.375742347749372,-1.0608760172517213,-0.011787511302796903,84.83554961790138
