Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_up,8/2/11,13:46:30,40.8,NA,5.66,0.268,8.082,3.3059000000000003,268,162.664,2.2343654180081938,35.03436541800819,37.80743457383395,2.1595126387679753,4.519512638767975,5.057711096477016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,8/2/11,13:47:30,33.2,34.8,3.94,0.1264,0.4820000000000064,1.5859,126.4,21.064000000000007,0.289336750386838,33.089336750386835,33.14462218992462,0.2796437701212847,2.6396437701212845,3.2249335581183467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,8/2/11,13:48:00,36.4,52,2.36,0.1056,3.682000000000002,0.005900000000000016,105.6,0.2639999999999958,0.003626324634548233,32.80362632463454,34.55505749115023,0.0035048402635785205,2.3635048402635785,2.3617517699838917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,8/2/11,14:03:00,32.8,30.1,3.79,0.1254,0.08200000000000074,1.4359000000000002,125.4,20.064000000000007,0.2756006722256702,33.07560067222567,32.93751208043804,0.26636786003197194,2.626367860031972,3.1549856084491372,0.00408692185007978,-5.499963196168386,-1.2122337310075002,-0.013469263677861113,74.24310815472859,NA,NA,NA,NA,NA
A_up,8/2/11,14:21:00,34.7,NA,3.04,0.2024,1.9820000000000064,0.6859000000000002,202.4,97.06400000000001,1.3332786906355885,34.133278690635585,34.415472836575326,1.2886129369090566,3.6486129369090565,3.3304329040236693,NA,NA,NA,NA,NA,0.007066471606362814,-4.952393989226433,-0.630589831656132,-0.007006553685068134,142.72351928611187
A_up,8/2/11,14:28:00,43.4,NA,6.88,0.8052,10.682000000000002,4.5259,805.2,699.864,9.61338660618752,42.413386606187515,42.903857387285555,9.291331538746807,11.651331538746806,8.953276550323796,NA,NA,NA,NA,NA,0.006466827840837648,-5.041069578050685,-0.7192654204803839,-0.0079918380053376,125.12766141307152
A_up,8/2/11,14:37:30,76.3,NA,6.72,2.7208,43.582,4.3659,2720.8,2615.4640000000004,35.9262179317205,68.7262179317205,72.41415903116098,34.72266490583439,37.08266490583439,15.785927535853158,NA,NA,NA,NA,NA,0.0016692640388091746,-6.395372445012044,-2.073568287441743,-0.02303964763824159,43.40344156740415
A_up,8/2/11,14:41:00,100,NA,31.9,4.2246,67.28200000000001,29.5459,4224.5999999999995,4119.263999999999,56.58253227048458,89.38253227048457,94.54233563355871,54.68697849814295,57.04697849814295,42.65909767084577,NA,NA,NA,NA,NA,0.0071726162731983205,-4.937484799267921,-0.6156806416976197,-0.006840896018862441,146.1796813228405
A_up,8/2/11,14:45:15,127,NA,50.7,5.764,94.28200000000001,48.3459,5764,5658.664,77.727850991786255,110.52785099178625,118.47800249817202,75.12391448963106,77.48391448963106,62.67722444895188,NA,NA,NA,NA,NA,0.008543695119554722,-4.762561680973687,-0.44075752340338603,-0.004897305815593178,204.1939053134007
A_up,8/2/11,14:49:00,164,NA,80.6,8.6898,131.282,78.24589999999999,8689.8,8584.464,117.91686847573091,150.7168684757309,157.21821278089848,113.96657222894243,116.32657222894242,96.82934328834808,NA,NA,NA,NA,NA,0.009114826505184248,-4.6978529050223194,-0.37604874745201844,-0.004178319416133538,239.3306735092462
A_up,8/2/11,14:53:00,228,NA,131,12.8952,195.282,128.6459,12895.2,12789.864000000001,175.68257157470586,208.48257157470584,218.02299493180286,169.79708451853847,172.15708451853848,150.17515797204456,NA,NA,NA,NA,NA,0.01005842595355197,-4.599344592402307,-0.2775404348320061,-0.003083782609244512,324.27707355318006
A_up,8/2/11,14:57:00,287,NA,164,16.7455,254.282,161.6459,16745.5,16640.164,228.5705933186501,261.3705933186501,273.8856700932938,220.9133211354195,223.2733211354195,191.35523161442137,NA,NA,NA,NA,NA,0.009714201134075362,-4.6341664296856075,-0.31236227211530654,-0.0034706919123922947,288.126985984969
A_up,8/2/11,15:00:00,341,NA,207,18.4925,308.282,204.6459,18492.5,18387.164,252.5675218662102,285.3675218662102,311.94602891586516,244.10633606144893,246.46633606144894,225.87282166015447,NA,NA,NA,NA,NA,0.011129824044643319,-4.498126922926269,-0.1763227653559678,-0.0019591418372885312,510.42756627769654
A_up,8/2/11,15:04:00,365,NA,235,22.5384,332.282,232.6459,22538.399999999998,22433.064,308.14232049847885,340.94232049847886,352.7661363877558,297.81934069179954,300.17934069179955,265.5977128338513,NA,NA,NA,NA,NA,0.010370669829141487,-4.568773665852631,-0.24696950828233,-0.0027441056475814444,364.41745633276327
A_up,8/2/11,15:08:00,456,NA,292,30.0581,423.282,289.6459,30058.1,29952.764,411.4335074470121,444.23350744701213,450.0783036270887,397.65020179040494,400.01020179040495,341.7645079916844,NA,NA,NA,NA,NA,0.009670089211132568,-4.6387177440028635,-0.3169135864325625,-0.003521262071472917,283.9890867826568
A_up,8/2/11,15:12:00,456,NA,292,30.5727,423.282,289.6459,30572.7,30467.364,418.5020932687491,451.3020932687491,453.6449652873375,404.4819851223653,406.8419851223653,344.6706538940189,NA,NA,NA,NA,NA,0.009506759429532531,-4.655752214487045,-0.3339480569167437,-0.0037105339657415963,269.50299046787933
A_up,8/2/11,15:16:00,477,NA,281,32.0581,444.282,278.6459,32058.100000000002,31952.764000000003,438.9056637693477,471.7056637693477,474.3454454487563,424.2020219690305,426.5620219690305,346.2137030409074,NA,NA,NA,NA,NA,0.00872055700721227,-4.742072166127412,-0.42026800855711066,-0.004669644539523452,214.1490624256493
A_up,8/2/11,15:20:00,475,NA,287,32.1281,442.282,284.6459,32128.100000000002,32022.764000000003,439.86718924062944,472.66718924062945,473.83215898596285,425.13133567528246,427.49133567528247,350.27134244583334,NA,NA,NA,NA,NA,0.0088888610614624,-4.722956352234855,-0.40115219466455443,-0.004457246607383938,224.35375200990356
A_up,8/2/11,15:24:15,497,NA,312,33.4888,464.282,309.6459,33488.799999999996,33383.46399999999,458.5578707945303,491.3578707945303,494.1708831820036,443.1958665338102,445.5558665338102,372.8450487247332,NA,NA,NA,NA,NA,0.009275427499075593,-4.6803865800062825,-0.3585824224359815,-0.003984249138177572,250.98832058916076
