Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_down,6/14/11,12:40:30,23.4,12.2,2.1,0.834,0.058499999999998664,0.005249999999999755,834,2.0849999999999227,0.012412035836240098,23.41241203583624,23.40620519517353,0.02445930937658797,2.1244593093765882,2.112194249990004,NA,NA,NA,NA,NA,0.0025179856115107673,-5.984296057629379,-1.5387828184485892,-0.012823190153738244,77.98371450558875
A_down,6/14/11,12:46:00,33.2,25,5.73,0.855,9.858500000000003,3.63525,855,23.084999999999923,0.13742534641708024,23.537425346417077,27.954293435911545,0.2708120656875551,2.3708120656875553,3.6857500100236984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_down,6/14/11,13:37:00,77.6,NA,77.4,7.4,54.2585,75.30525,7400,6568.085,39.09990714411226,62.49990714411226,69.64188965258707,77.0507544492723,79.1507544492723,78.2704822674147,NA,NA,NA,NA,NA,0.011465328174041597,-4.468427739092255,-0.022914499911465214,-1.9095416592887677e-4,5236.858777788919
A_down,6/14/11,13:40:00,102,NA,91,8.27,78.6585,88.90525,8270,7438.085,44.27903001103278,67.67903001103278,83.08586559171985,87.25679721072666,89.35679721072665,90.17465578629137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_down,6/14/11,13:44:30,99.9,NA,98.5,9.47,76.55850000000001,96.40525,9470,8638.085,51.422647758509356,74.82264775850936,86.45682454887576,101.33409757135334,103.43409757135333,100.93690410735958,NA,NA,NA,NA,NA,0.011160488696279326,-4.495375532998539,-0.04986229381774887,-4.1551911514790726e-4,2406.6281514968146
A_down,6/14/11,13:48:00,93.2,NA,110,10.9,69.8585,107.90525,10900,10068.085,59.93545890758561,83.3354589075856,88.1298177133425,118.10954716776682,120.20954716776681,114.9915222460088,NA,NA,NA,NA,NA,0.010717554529982614,-4.535872271566423,-0.09035903238563314,-7.529919365469428e-4,1328.0354695241258
A_down,6/14/11,13:55:30,127,NA,147,14.7,103.6585,144.90525,14700,13868.085,82.55691510792812,105.95691510792813,116.0022767824273,162.687664976418,164.787664976418,155.63992659832965,NA,NA,NA,NA,NA,0.010448829092120505,-4.561265355450139,-0.11575211626934934,-9.646009689112445e-4,1036.6981085751042
A_down,6/14/11,14:00:30,114,NA,153,15.1,90.6585,150.90525,15100,14268.085,84.93812102375364,108.33812102375364,111.1330094828171,167.38009842996024,169.48009842996024,161.02936086249588,NA,NA,NA,NA,NA,0.010576419330274525,-4.549128347427111,-0.10361510824632081,-8.634592353860067e-4,1158.1322649852175
A_down,6/14/11,14:18:30,103,NA,127,12.3,79.6585,124.90525,12300,11468.085,68.26967961297495,91.66967961297496,97.16983585525102,134.53306425516462,136.6330642551646,131.72850549674467,NA,NA,NA,NA,NA,0.01089155251290865,-4.519767789029593,-0.07425454984880275,-6.187879154066896e-4,1616.0625880076605
A_down,6/14/11,14:36:30,101,NA,88.8,8.72,77.6585,86.70524999999999,8720,7888.085,46.9578866663365,70.3578866663365,84.29796292497217,92.53578484596167,94.63578484596167,91.67146608580777,NA,NA,NA,NA,NA,0.010991926430813054,-4.510594236500064,-0.0650809973192743,-5.423416443272859e-4,1843.8561937104944
A_down,6/14/11,15:02:00,45.5,NA,48.3,4.73,22.1585,46.20525,4730,3898.085,23.20535765597687,46.60535765597687,46.04936235548705,45.728761146877915,47.828761146877916,48.06380304755548,0.005684457881241687,-5.1700195158267865,-0.04616201540116105,-3.846834616763421e-4,2599.5398805092423,NA,NA,NA,NA,NA
A_down,6/14/11,15:12:30,74.4,NA,38.7,3.97,51.05850000000001,36.605250000000005,3970,3138.085,18.68106641590837,42.08106641590837,55.95383223107767,36.81313758514768,38.91313758514768,38.80642246516953,NA,NA,NA,NA,NA,0.011664836994536479,-4.451176347499524,-0.005663108318733734,-4.7192569322781117e-5,21189.77657606095
A_down,6/14/11,15:27:00,63.2,NA,25,2.59,39.85850000000001,22.90525,2590,1758.085,10.465906006310302,33.8659060063103,46.26364944098996,20.62424217042698,22.724242170426983,23.834975440739907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
