Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_up,9/2/11,13:20:00,4.99,NA,3.5,2.5121000000000002,0.7705749999999991,0.7169749999999997,2512.1000000000004,6.280249999999796,0.01936810703842555,4.249368107038426,4.60481778728776,0.045801235032990106,2.83580123503299,3.1504450991273387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,9/2/11,13:23:00,4.94,NA,3.25,2.5815,0.7205749999999993,0.4669749999999997,2581.5,75.68024999999943,0.2333956741682006,4.463395674168201,4.695654867043671,0.5519284929111955,3.3419284929111956,3.2956437310427518,NA,NA,NA,NA,NA,0.006170368094714317,-5.087996784057594,-0.1671427730129178,-6.428568192804531e-4,NA
A_up,9/2/11,13:25:00,5.16,NA,4.55,2.6896,0.940574999999999,1.7669749999999995,2689.6,183.78024999999934,0.5667729076945519,4.796772907694552,4.975072683258396,1.3402909796062135,4.1302909796062135,4.335069083325924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,9/2/11,13:27:00,10.5,NA,4.15,4.9701,6.280574999999999,1.366975,4970.1,2464.28025,7.599768107110325,11.829768107110326,11.145069094656096,17.971749359883646,20.761749359883645,9.282308971560749,0.0025486447817775594,-5.972193519212176,-0.1906561978061987,-7.332930684853796e-4,1363.7112403987467,5.547157227754433e-4,-7.497054786658233,-2.5762007756135565,-0.009908464521590603,100.92381093165284
A_up,9/2/11,13:29:00,24.6,NA,8.92,9.319,20.380575,6.136975,9319,6813.180249999999,21.011648318791643,25.241648318791643,24.91875897074882,49.687842036923115,52.477842036923114,21.635673111076397,0.0029913453412596857,-5.812032045865704,-0.030494724459726896,-1.1728740176818037e-4,8526.064904877927,9.007504241503078e-4,-7.0122823374504675,-2.091428326405791,-0.008043955101560734,124.31695445515034
A_up,9/2/11,13:31:00,41.5,NA,16.2,14.6125,37.280575,13.416974999999999,14612.5,12106.68025,37.33664726117594,41.566647261175945,41.533310262231716,88.29280802508298,91.08280802508298,38.41277769188715,0.0030793391937480137,-5.783040252499669,-0.0015029310936913731,-5.780504206505282e-6,NA,0.0011082290704753682,-6.804991969719001,-1.8841379586743248,-0.0072466844564397104,137.9941414602864
A_up,9/2/11,13:33:00,55.2,NA,21.3,19.8419,50.980575,18.516975000000002,19841.899999999998,17336.08025,53.46396368118244,57.69396368118244,56.43320649406049,126.4302991252026,129.2202991252026,52.463247815654874,0.002940720985644953,-5.829100494483727,-0.04756317307774971,-1.8293528106826812e-4,5466.414100989181,0.0010681177482435803,-6.841857293356946,-1.9210032823122694,-0.007388474162739497,135.345942609241
A_up,9/2/11,13:34:00,62.1,NA,17.9,20.6578,57.880575,15.116974999999998,20657.800000000003,18151.98025,55.98017538177588,60.21017538177588,61.1477872960934,132.3805762102578,135.1705762102578,49.18895520504186,NA,NA,NA,NA,NA,8.328003221576884e-4,-7.090716653826788,-2.1698626427821113,-0.008345625549161967,119.82325280582663
A_up,9/2/11,13:35:00,62.1,NA,15.4,22.0459,57.880575,12.616975,22045.899999999998,19540.08025,60.26103512144219,64.4910351214422,63.28422616293543,142.50385065781887,145.29385065781887,47.30248725099358,0.0029621462276236046,-5.82184119648756,-0.04030387508158206,-1.55014904159931e-4,6450.992602416386,6.456971946161787e-4,-7.3451799030583755,-2.424325892013699,-0.009324330353898843,107.24630746076724
A_up,9/2/11,13:36:00,62.4,NA,21.9,21.5666,58.180575,19.116974999999996,21566.600000000002,19060.780250000003,58.782887961135266,63.01288796113526,62.70569518612198,139.00836370247274,141.79836370247273,55.725973881881615,0.003052371111618056,-5.791836576747016,-0.010299255341038815,-3.9612520542456984e-5,25244.54355102682,0.0010029481872862991,-6.904811429077125,-1.9839574180324488,-0.007630605453970957,131.0511998074283
A_up,9/2/11,13:37:00,61,NA,16.8,20.8859,56.780575,14.016975,20885.899999999998,18380.08025,56.68362910025285,60.91362910025285,60.956799252547924,134.044086693284,136.83408669328398,47.94593472284351,NA,NA,NA,NA,NA,7.626177257849568e-4,-7.178753666928233,-2.2578996558835565,-0.008684229445705986,115.15126428337993
A_up,9/2/11,13:38:00,61.4,NA,19.5,20.7827,57.180575,16.716974999999998,20782.699999999997,18276.880249999995,56.365363323195304,60.5953633231953,60.99635487505943,133.29145941643912,136.08145941643912,51.51299310485232,NA,NA,NA,NA,NA,9.146514487886959e-4,-6.996967495546703,-2.0761134845020264,-0.007985051863469332,125.23400186977892
A_up,9/2/11,13:39:00,56.2,NA,14.3,19.7651,51.980575,11.516975,19765.1,17259.280249999996,53.22711473081404,57.45711473081404,56.8250811514753,125.8702044075506,128.6602044075506,42.893366888459255,0.0030117463907569386,-5.805235172205367,-0.023697850799389464,-9.114557999765179e-5,10971.45906609803,6.672917313571058e-4,-7.312283229324193,-2.3914292182795167,-0.00919780468569045,108.7215954428514
A_up,9/2/11,13:40:00,52.3,NA,14.7,18.665,48.080574999999996,11.916974999999999,18665,16159.18025,49.83443855502922,54.06443855502923,53.17490137675882,117.8472851511844,120.6372851511844,42.11137722424205,0.0029754340415875983,-5.817365354294413,-0.0358280328884355,-1.378001264939827e-4,7256.887387862208,7.374739817015161e-4,-7.212279749421411,-2.2914257383767342,-0.008813175916833593,113.4664744510491
