Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_nh4,cl_ug,cor_cl,con_nh4,con_amb_nh4,tot_nh4,nh4_cl,log_nh4_cl,diff,kw_nh4,sw_nh4
B_up,6/8/11,16:36:00,8.55,14.2,3.76,0.604,0.9332499999999975,604,1.509999999999991,0.022091255226833362,13.322091255226834,13.754042890154917,NA,NA,NA,NA,NA
B_up,6/8/11,16:44:00,8.25,13.6,4.03,0.727,0.3332499999999978,727,124.50999999999999,1.8215776081410848,15.121577608141086,14.34062256217347,0.0026764918480443167,-5.923248353887646,-1.6985652632024983,-0.018872947368916648,52.9858945957206
B_up,6/8/11,16:46:00,8.16,70.3,NA,4.25,57.033249999999995,4250,3647.51,53.36296314730294,66.66296314730295,68.45733203430729,NA,NA,NA,NA,NA
B_up,6/8/11,16:47:00,7.85,156,NA,10.2,142.73325,10200,9597.51,140.41128672323626,153.71128672323627,154.8514150042707,NA,NA,NA,NA,NA
B_up,6/8/11,16:47:30,8.67,162,NA,10.8,148.73325,10800,10197.51,149.18926893257407,162.48926893257408,162.24445003474537,0.014585251693795837,-4.227744418780442,-0.0030613280952938027,-3.401475661437559e-5,29399.00500647334
B_up,6/8/11,16:48:06,8.8,235,NA,15.8,221.73325,15800,15197.51,222.33912067705583,235.63912067705584,235.3193433594191,0.014590103905179203,-4.227411794801849,-0.0027287041167012305,-3.0318934630013672e-5,32982.6892733252
B_up,6/8/11,16:49:00,7.58,231,NA,16.1,217.73325,16100.000000000002,15497.510000000002,226.72811178172475,240.02811178172476,235.4707918651024,0.014049563445998742,-4.265163955144274,-0.04048086445912613,-4.4978738287917926e-4,2223.27267963543
B_up,6/8/11,16:50:00,8.93,334,NA,23.1,320.73325,23100,22497.51,329.13790422399916,342.43790422399917,338.1926374284571,0.01425638881814032,-4.250550134625871,-0.025867043940722922,-2.874115993413658e-4,3479.3306960874443
B_up,6/8/11,16:51:00,7.62,331,NA,24.6,317.73325,24600,23997.51,351.0828597473437,364.38285974734373,347.29055065804863,0.013240259093547624,-4.32449315966568,-0.09981006898053213,-0.001109000766450357,901.712631994618
B_up,6/8/11,16:52:00,10.1,324,NA,27.8,310.73325,27800,27197.51,397.89876486381206,411.1987648638121,365.0046572523081,0.011425062441377906,-4.471945876888322,-0.24726278620317377,-0.002747364291146375,363.985221480307
B_up,6/8/11,16:53:00,8.68,437,NA,22.4,423.73325,22400,21797.51,318.8969249797717,332.1969249797717,381.01188461275086,NA,NA,NA,NA,NA
B_up,6/8/11,16:54:00,8.09,431,NA,30.3,417.73325,30300,29697.51,434.4736907360529,447.7736907360529,439.306795653378,0.014066271886094155,-4.263975411971719,-0.03929232128657123,-4.3658134762856923e-4,2290.5238747184662
B_up,6/8/11,16:55:00,8.39,427,NA,30.3,413.73325,30300,29697.51,434.4736907360529,447.7736907360529,437.2634971550847,0.013931580459102463,-4.273597040404207,-0.048913949719058714,-5.434883302117635e-4,1839.9659098666616
B_up,6/8/11,16:57:00,8.92,391,NA,28.7,377.73325,28700,28097.51,411.0657381778188,424.3657381778188,407.34138462415933,0.013443655683368385,-4.309247980621872,-0.08456488993672373,-9.396098881858193e-4,1064.2714732715094
B_up,6/8/11,17:01:00,8.45,334,NA,24.1,320.73325,24100,23497.51,343.76787457289555,357.06787457289556,345.3413819792628,0.013649669688405282,-4.294039956295588,-0.06935686561044019,-7.706318401160021e-4,1297.6364950732784
B_up,6/8/11,17:06:00,8.52,233,NA,18.1,219.73325,18100,17497.51,255.98805247951742,269.28805247951743,250.48775664237073,0.01255797253437775,-4.377399553394239,-0.15271646270909134,-0.0016968495856565704,589.3274268108242
B_up,6/8/11,17:10:00,8.69,199,NA,14,185.73325,14000,13397.51,196.00517404904238,209.3051740490424,204.08755384824292,0.013863266383081631,-4.27851264321113,-0.05382955252598176,-5.981061391775751e-4,1671.9440488857854
B_up,6/8/11,17:17:00,6.38,127,NA,6.24,113.73325,6240,5637.51,82.47660414160669,95.77660414160668,110.28884225516221,NA,NA,NA,NA,NA
B_up,6/8/11,17:23:00,8.48,99.7,NA,6.13,86.43325,6130,5527.51,80.86730740322808,94.16730740322808,96.89417189956183,NA,NA,NA,NA,NA
B_up,6/8/11,17:32:00,8.47,58.4,NA,3.3,45.13325,3300,2697.51,39.464491315851404,52.7644913158514,55.51077636680757,NA,NA,NA,NA,NA
B_up,6/8/11,17:42:00,7.71,29.7,NA,1.88,16.433249999999997,1880,1277.51,18.68993342041858,31.98993342041858,30.82370877403353,0.012863500090018862,-4.35336142846211,-0.1286783377769618,-0.001429759308632909,699.4184223610117
B_up,6/8/11,17:59:00,6.01,13.3,5.19,0.839,0.03324999999999889,839,236.51,3.4601342872174765,16.760134287217475,14.93016363004748,1.405860217326916e-4,-8.869691002216479,-4.645007911531331,-0.05161119901701479,19.37563976512787
