Location,Type,Date,DOC_mg_L
UFC,STREAM,6/23/20,
UFC,STREAM,6/25/20,
UFC,STREAM,6/30/20,
UFC,STREAM,7/2/20,
UFC,STREAM,7/7/20,
UFC,STREAM,7/9/20,
UFC,STREAM,7/14/20,
UFC,STREAM,7/16/20,
UFC,STREAM,7/22/20,
UFC,STREAM,7/28/20,
UFC,STREAM,7/30/20,
UFC,STREAM,8/4/20,
UFC,STREAM,8/11/20,
UFC,STREAM,8/12/20,
UFC,STREAM,8/18/20,
UFC,STREAM,8/25/20,
UFC,STREAM,9/1/20,
UFC,STREAM,9/10/20,
UFC,STREAM,9/14/20,
UFC,STREAM,9/24/20,
UFC,STREAM,9/28/20,
UFC,STREAM,10/6/20,
