Time,Run_time,Cond_cor
13:20:45,1200,0.2100234
13:20:50,1205,-0.1016064
13:20:55,1210,1.438545
13:21:00,1215,2.506338
13:21:05,1220,1.253585
13:21:10,1225,0.5958633
13:21:15,1230,-0.3528404
13:21:20,1235,-0.5900822
13:21:25,1240,-0.943934
13:21:30,1245,-0.474381
13:21:35,1250,-0.9480731
13:21:40,1255,0.3343992
13:21:45,1260,-0.5990939
13:21:50,1265,-0.48248
13:21:55,1270,-0.954268
13:22:00,1275,-1.072911
13:22:05,1280,-0.9563308
13:22:10,1285,-1.075911
13:22:15,1290,-1.431896
13:22:20,1295,-1.433707
13:22:25,1300,-1.436424
13:22:30,1305,-1.557972
13:22:35,1310,-1.911198
13:22:40,1315,-1.916649
13:22:45,1320,-1.918982
13:22:50,1325,-2.388322
13:22:55,1330,-2.390936
13:23:00,1335,-2.394199
13:23:05,1340,-2.398105
13:23:10,1345,-2.400058
13:23:15,1350,-2.403953
13:23:20,1355,-2.407196
13:23:25,1360,-2.410432
13:23:30,1365,-2.414954
13:23:35,1370,-2.418179
13:23:40,1375,-2.537434
13:23:45,1380,-2.884099
13:23:50,1385,-3.11629
13:23:55,1390,-3.346874
13:24:00,1395,-3.463217
13:24:05,1400,-3.579423
13:24:10,1405,-3.58128
13:24:15,1410,-3.583317
13:24:20,1415,-3.584672
13:24:25,1420,-3.586364
13:24:30,1425,-3.588055
13:24:35,1430,-3.589742
13:24:40,1435,-0.7715697
13:24:45,1440,-1.791967
13:24:50,1445,-2.471741
13:24:55,1450,-1.127169
13:25:00,1455,-0.09253597
13:25:05,1460,11.11135
13:25:10,1465,2.730986
13:25:15,1470,2.499676
13:25:20,1475,3.347905
13:25:25,1480,12.85831
13:25:30,1485,23.98994
13:25:35,1490,1.841661
13:25:40,1495,-1.187294
13:25:45,1500,925.1001
13:25:50,1505,922.7466
13:25:55,1510,926.4221
13:26:00,1515,928.2643
13:26:05,1520,928.847
13:26:10,1525,929.9556
13:26:15,1530,932.3994
13:26:20,1535,933.5616
13:26:25,1540,936.543
13:26:30,1545,939.5342
13:26:35,1550,939.9286
13:26:40,1555,942.6824
13:26:45,1560,943.9168
13:26:50,1565,941.949
13:26:55,1570,942.6893
13:27:00,1575,941.9033
13:27:05,1580,25.17836
13:27:10,1585,4.93985
13:27:15,1590,1.735565
13:27:20,1595,0.4822845
13:27:25,1600,8.300484
13:27:30,1605,3.036091
13:27:35,1610,5.106452
13:27:40,1615,2.943846
13:27:45,1620,1.642524
13:27:50,1625,2.290942
13:27:55,1630,2.622953
13:28:00,1635,2.668497
13:28:05,1640,1.896265
13:28:10,1645,20.84156
13:28:15,1650,2.939767
13:28:20,1655,2.34033
13:28:25,1660,4.35192
13:28:30,1665,18.07244
13:28:35,1670,3.599355
13:28:40,1675,941.7017
13:28:45,1680,942.0461
13:28:50,1685,943.2283
13:28:55,1690,944.3137
13:29:00,1695,945.9934
13:29:05,1700,945.7972
13:29:10,1705,947.0139
13:29:15,1710,950.136
13:29:20,1715,946.1274
13:29:25,1720,946.6226
13:29:30,1725,948.3074
13:29:35,1730,947.6152
13:29:40,1735,946.3284
13:29:45,1740,946.8248
13:29:50,1745,947.321
13:29:55,1750,947.8177
13:30:00,1755,949.5051
13:30:05,1760,949.7535
13:30:10,1765,951.1949
13:30:15,1770,951.4446
13:30:20,1775,951.0974
13:30:25,1780,951.9424
13:30:30,1785,950.0547
13:30:35,1790,950.9006
13:30:40,1795,951.15
13:30:45,1800,950.8029
13:30:50,1805,951.1661
13:30:55,1810,953.7701
13:31:00,1815,951.6648
13:31:05,1820,951.9146
13:31:10,1825,953.9717
13:31:15,1830,955.0702
13:31:20,1835,952.4134
13:31:25,1840,953.2616
13:31:30,1845,955.0218
13:31:35,1850,955.2721
13:31:40,1855,955.8214
13:31:45,1860,952.5647
13:31:50,1865,953.1625
13:31:55,1870,953.6626
13:32:00,1875,953.6626
13:32:05,1880,953.6626
13:32:10,1885,955.7234
13:32:15,1890,955.7234
13:32:20,1895,955.9742
13:32:25,1900,956.2251
13:32:30,1905,956.2465
13:32:35,1910,956.8463
13:32:40,1915,956.8463
13:32:45,1920,956.5466
13:32:50,1925,955.8978
13:32:55,1930,955.5984
13:33:00,1935,955.5984
13:33:05,1940,956.1976
13:33:10,1945,956.4481
13:33:15,1950,956.748
13:33:20,1955,955.8978
13:33:25,1960,956.1976
13:33:30,1965,956.4976
13:33:35,1970,956.748
13:33:40,1975,956.748
13:33:45,1980,956.748
13:33:50,1985,956.9994
13:33:55,1990,956.748
13:34:00,1995,956.748
13:34:05,2000,956.9994
13:34:10,2005,956.3718
13:34:15,2010,956.6223
13:34:20,2015,956.6223
13:34:25,2020,956.3718
13:34:30,2025,956.9224
13:34:35,2030,956.9224
13:34:40,2035,956.3718
13:34:45,2040,956.3718
13:34:50,2045,956.9224
13:34:55,2050,956.9224
13:35:00,2055,957.2224
13:35:05,2060,956.9224
13:35:10,2065,956.9224
13:35:15,2070,956.6719
13:35:20,2075,957.2224
13:35:25,2080,954.7083
13:35:30,2085,956.5065
13:35:35,2090,955.3076
13:35:40,2095,955.907
13:35:45,2100,967.9517
13:35:50,2105,965.1783
13:35:55,2110,967.5954
